,age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,ypred
27144,27,0,2,2,0,0,2,1,0,0,45,39,0
11743,24,4,11,2,3,0,4,1,0,0,38,39,0
4306,30,4,11,2,13,0,4,1,0,0,40,39,0
19590,20,4,15,2,3,0,4,1,0,0,40,39,0
24990,54,4,15,0,14,1,4,1,0,0,55,39,0
8156,51,2,11,2,4,5,4,0,0,0,32,39,0
13367,52,4,9,3,4,1,4,0,0,0,42,39,0
28980,45,5,10,2,10,0,4,1,0,0,60,39,1
18801,23,2,11,4,8,1,4,0,0,0,40,39,0
13691,51,4,9,2,4,0,4,1,0,1977,60,0,1
29656,45,4,1,2,8,5,4,0,0,0,36,39,0
2899,22,4,11,0,13,4,4,0,0,0,30,11,0
18731,28,4,11,4,4,1,4,1,0,0,40,39,0
19230,35,0,6,0,0,3,0,1,0,0,38,39,0
22847,42,4,15,2,12,0,4,1,0,1887,50,39,1
3999,28,4,5,2,3,0,4,1,0,0,30,39,0
22678,31,4,15,4,4,3,4,1,0,0,40,39,0
16906,32,4,7,2,13,0,4,1,0,0,42,39,0
8468,43,4,8,2,1,5,4,0,0,0,40,39,0
18212,20,4,15,4,1,1,4,0,0,0,40,39,0
20636,23,4,11,0,3,1,4,1,4650,0,50,21,0
12123,21,4,15,4,12,3,4,1,0,0,40,39,0
19119,44,2,8,0,11,3,4,0,0,0,40,5,0
23434,32,4,7,4,10,1,4,1,0,0,40,0,0
10881,28,0,11,0,0,3,4,0,0,0,10,39,0
27589,30,4,11,2,4,0,4,1,0,0,50,39,0
19850,39,4,11,2,14,0,4,1,0,0,50,39,0
15966,24,4,11,5,8,4,4,0,0,0,50,32,0
2832,57,6,15,2,12,0,4,1,0,0,60,39,1
651,24,4,11,4,4,2,4,1,4101,0,50,39,0
24899,51,4,11,4,3,4,4,0,0,0,45,26,0
15404,40,4,11,0,3,1,4,1,0,0,50,39,0
21006,28,4,15,4,12,1,4,1,0,0,40,39,0
16242,48,6,11,5,8,2,4,0,0,0,25,39,0
18772,41,6,11,0,12,1,4,1,3674,0,45,39,0
5267,57,4,15,2,12,0,4,1,0,1902,40,39,1
3827,23,4,15,2,14,0,4,1,0,0,24,39,0
9698,20,4,11,0,1,1,4,0,0,0,40,39,0
32482,32,4,15,2,10,0,4,1,0,0,40,39,0
20981,41,2,8,0,10,4,4,0,0,0,40,39,0
25730,46,4,10,2,10,0,4,1,0,0,70,39,1
30889,17,4,2,4,8,3,4,1,0,0,35,39,0
